baseline_kp,baseline_ki,baseline_kd,recommended_kp,recommended_ki,recommended_kd,delta_kp,delta_ki,delta_kd,mean_error,mean_abs_error,error_std,temp_swing,pwm_mean,pwm_max,zero_crossings,in_band_ratio,overshoot_pct,settling_sec,saturation_ratio,preview_in_band_ratio,preview_overshoot_c,preview_settling_sec,preview_mean_abs_error,preview_saturation_ratio,preview_temp_swing,recommendation_id,device_code,problem_type,candidate_id,effect_outcome,preview_gap_level,feedback_usable_for_training
2.0,0.27,0.05,2.12,0.36,0.05,0.12,0.09,0.0,0.8075,0.833,0.12,0.45,64.0,75.0,0,0.12,0.0,900.0,0.05,0.0,4.465615,,2.25789,0.0,3.359527,defense-training-steady_state_error_1-rule_center,TRAIN-steady_state_error_1,steady_state_error,rule_center,improved,medium,True
2.0,0.27,0.05,2.084,0.333,0.05,0.084,0.063,0.0,0.8075,0.833,0.12,0.45,64.0,75.0,0,0.12,0.0,900.0,0.05,0.0,4.055728,,2.054812,0.0,3.175078,defense-training-steady_state_error_1-conservative,TRAIN-steady_state_error_1,steady_state_error,conservative,unchanged,medium,True
2.0,0.27,0.05,2.174,0.387,0.05,0.174,0.117,0.0,0.8075,0.833,0.12,0.45,64.0,75.0,0,0.12,0.0,900.0,0.05,0.0,4.884223,,2.44309,0.0,3.5479,defense-training-steady_state_error_1-aggressive,TRAIN-steady_state_error_1,steady_state_error,aggressive,improved,low,True
2.0,0.27,0.05,2.096,0.333,0.05,0.096,0.063,0.0,0.8075,0.833,0.12,0.45,64.0,75.0,0,0.12,0.0,900.0,0.05,0.0,4.061542,,2.047257,0.0,3.177694,defense-training-steady_state_error_1-overshoot_guard,TRAIN-steady_state_error_1,steady_state_error,overshoot_guard,unchanged,medium,True
2.0,0.27,0.05,2.1536,0.3672,0.05,0.1536,0.0972,0.0,0.8075,0.833,0.12,0.45,64.0,75.0,0,0.12,0.0,900.0,0.05,0.0,4.586546,,2.294518,0.0,3.413946,defense-training-steady_state_error_1-settling_focus,TRAIN-steady_state_error_1,steady_state_error,settling_focus,improved,low,True
2.0,0.27,0.05,2.0,0.27,0.05,0.0,0.0,0.0,0.8075,0.833,0.12,0.45,64.0,75.0,0,0.12,0.0,900.0,0.05,0.0,4.763716,,2.27684,0.0,5.733893,defense-training-steady_state_error_1-baseline_hold,TRAIN-steady_state_error_1,steady_state_error,baseline_hold,unchanged,high,True
2.1,0.22,0.05,2.1,0.253,0.05,0.0,0.033,0.0,0.867,0.867,0.06,0.22,59.0,63.0,0,0.0,0.0,900.0,0.0,0.933333,3.213888,60.0,0.516321,0.0,2.814112,defense-training-steady_state_error_integral_only_1-rule_center,TRAIN-steady_state_error_integral_only_1,steady_state_error,rule_center,improved,medium,True
2.1,0.22,0.05,2.1,0.2431,0.05,0.0,0.0231,0.0,0.867,0.867,0.06,0.22,59.0,63.0,0,0.0,0.0,900.0,0.0,0.066667,3.059389,,0.665428,0.0,2.726725,defense-training-steady_state_error_integral_only_1-conservative,TRAIN-steady_state_error_integral_only_1,steady_state_error,conservative,unchanged,medium,True
2.1,0.22,0.05,2.1,0.2629,0.05,0.0,0.0429,0.0,0.867,0.867,0.06,0.22,59.0,63.0,0,0.0,0.0,900.0,0.0,0.566667,3.674203,840.0,0.819024,0.0,4.600814,defense-training-steady_state_error_integral_only_1-aggressive,TRAIN-steady_state_error_integral_only_1,steady_state_error,aggressive,improved,low,True
2.1,0.22,0.05,2.1,0.2431,0.05,0.0,0.0231,0.0,0.867,0.867,0.06,0.22,59.0,63.0,0,0.0,0.0,900.0,0.0,0.066667,3.059389,,0.665428,0.0,2.726725,defense-training-steady_state_error_integral_only_1-overshoot_guard,TRAIN-steady_state_error_integral_only_1,steady_state_error,overshoot_guard,unchanged,medium,True
2.1,0.22,0.05,2.1,0.25564,0.05,0.0,0.03564,0.0,0.867,0.867,0.06,0.22,59.0,63.0,0,0.0,0.0,900.0,0.0,0.066667,4.456814,,2.080149,0.0,5.440922,defense-training-steady_state_error_integral_only_1-settling_focus,TRAIN-steady_state_error_integral_only_1,steady_state_error,settling_focus,improved,low,True
2.1,0.22,0.05,2.1,0.22,0.05,0.0,0.0,0.0,0.867,0.867,0.06,0.22,59.0,63.0,0,0.0,0.0,900.0,0.0,0.5,3.638903,840.0,0.813715,0.0,4.534255,defense-training-steady_state_error_integral_only_1-baseline_hold,TRAIN-steady_state_error_integral_only_1,steady_state_error,baseline_hold,unchanged,high,True
2.0,0.26,0.05,2.24,0.281,0.047,0.24,0.021,-0.003,0.5525,0.663,0.85,3.2,59.0,77.0,0,0.48,0.0,630.0,0.02,0.5,3.41043,,0.794765,0.0,4.060698,defense-training-slow_response_1-rule_center,TRAIN-slow_response_1,slow_response,rule_center,improved,medium,True
2.0,0.26,0.05,2.168,0.2747,0.04685,0.168,0.0147,-0.00315,0.5525,0.663,0.85,3.2,59.0,77.0,0,0.48,0.0,630.0,0.02,0.766667,3.130569,330.0,0.61644,0.0,3.745704,defense-training-slow_response_1-conservative,TRAIN-slow_response_1,slow_response,conservative,unchanged,medium,True
2.0,0.26,0.05,2.348,0.2873,0.04736,0.348,0.0273,-0.00264,0.5525,0.663,0.85,3.2,59.0,77.0,0,0.48,0.0,630.0,0.02,0.1,3.951547,,1.632315,0.0,4.676179,defense-training-slow_response_1-aggressive,TRAIN-slow_response_1,slow_response,aggressive,improved,low,True
2.0,0.26,0.05,2.192,0.2747,0.05105,0.192,0.0147,0.00105,0.5525,0.663,0.85,3.2,59.0,77.0,0,0.48,0.0,630.0,0.02,0.166667,5.351227,,2.016097,0.0,6.427556,defense-training-slow_response_1-overshoot_guard,TRAIN-slow_response_1,slow_response,overshoot_guard,unchanged,medium,True
2.0,0.26,0.05,2.3072,0.28268,0.04724,0.3072,0.02268,-0.00276,0.5525,0.663,0.85,3.2,59.0,77.0,0,0.48,0.0,630.0,0.02,0.1,5.519734,,2.17557,0.0,6.586088,defense-training-slow_response_1-settling_focus,TRAIN-slow_response_1,slow_response,settling_focus,improved,low,True
2.0,0.26,0.05,2.0,0.26,0.05,0.0,0.0,0.0,0.5525,0.663,0.85,3.2,59.0,77.0,0,0.48,0.0,630.0,0.02,0.066667,3.373145,,1.575765,0.0,4.06341,defense-training-slow_response_1-baseline_hold,TRAIN-slow_response_1,slow_response,baseline_hold,unchanged,high,True
2.45,0.34,0.055,2.18,0.285,0.075,-0.27,-0.055,0.02,0.02,0.663,0.782,2.465,55.0,83.0,8,0.35,2.975,780.0,0.14,0.033333,6.008393,,2.821899,0.0,7.240633,defense-training-oscillation_1-rule_center,TRAIN-oscillation_1,oscillation,rule_center,unchanged,medium,True
2.45,0.34,0.055,2.2745,0.30425,0.077,-0.1755,-0.03575,0.022,0.02,0.663,0.782,2.465,55.0,83.0,8,0.35,2.975,780.0,0.14,0.033333,6.461437,,2.951652,0.0,7.685613,defense-training-oscillation_1-conservative,TRAIN-oscillation_1,oscillation,conservative,improved,low,True
2.45,0.34,0.055,2.1395,0.28225,0.0756,-0.3105,-0.05775,0.0206,0.02,0.663,0.782,2.465,55.0,83.0,8,0.35,2.975,780.0,0.14,0.033333,5.925049,,2.825995,0.0,7.158765,defense-training-oscillation_1-aggressive,TRAIN-oscillation_1,oscillation,aggressive,worse,high,True
2.45,0.34,0.055,2.234,0.3015,0.082,-0.216,-0.0385,0.027,0.02,0.663,0.782,2.465,55.0,83.0,8,0.35,2.975,780.0,0.14,0.033333,6.379304,,2.957589,0.0,7.604956,defense-training-oscillation_1-overshoot_guard,TRAIN-oscillation_1,oscillation,overshoot_guard,improved,low,True
2.45,0.34,0.055,2.153,0.28775,0.076,-0.297,-0.05225,0.021,0.02,0.663,0.782,2.465,55.0,83.0,8,0.35,2.975,780.0,0.14,0.033333,6.046477,,2.876634,0.0,7.278051,defense-training-oscillation_1-settling_focus,TRAIN-oscillation_1,oscillation,settling_focus,worse,high,True
2.45,0.34,0.055,2.45,0.34,0.055,0.0,0.0,0.0,0.02,0.663,0.782,2.465,55.0,83.0,8,0.35,2.975,780.0,0.14,0.033333,7.28543,,3.166525,0.0,8.49463,defense-training-oscillation_1-baseline_hold,TRAIN-oscillation_1,oscillation,baseline_hold,unchanged,medium,True
2.55,0.33,0.05,2.22,0.285,0.072,-0.33,-0.045,0.022,-0.2125,0.731,0.62,1.87,51.0,80.0,2,0.42,5.1,720.0,0.07,0.033333,5.940651,,2.742873,0.0,7.173776,defense-training-overshoot_high_1-rule_center,TRAIN-overshoot_high_1,overshoot_high,rule_center,unchanged,medium,True
